ID,ExpType,PatternDetected,TrialTime,CollisionCount,TotalPathLength,TimeIntervals_s,ErrorStart_Timeline_s,ErrorStart_Z_m
s1,No Haptic,True,112.853,14,104.873.000;6.120;5.700;0.160;5.840;3.340;1.140;2.580;1.040;1.440;1.240;1.780;4.140;1.820,0.020;16.160;22.680;29.320;30.701;50.841;60.961;67.781;82.618;85.238;94.156;100.335;102.735;109.954,0.257;3.394;11.312;17.980;19.296;36.947;47.022;54.119;68.774;71.393;81.268;88.519;91.071;97.227
s1,Haptic Thermal,True,124.351,22,106.020.700;2.580;0.880;3.040;1.840;0.360;1.640;1.820;0.260;1.320;0.740;1.300;1.300;3.660;2.320;2.620;0.500;1.220;4.140;1.620;1.680;0.960,7.300;9.840;14.300;18.920;23.920;28.180;35.521;42.441;45.841;53.261;56.901;59.861;63.461;65.261;70.620;83.258;89.857;97.436;99.895;105.714;112.053;118.752,3.692;5.678;8.744;13.152;16.920;20.108;25.028;30.363;33.077;40.024;43.561;46.997;51.021;53.176;57.272;68.741;73.886;81.169;83.471;87.391;91.081;95.447
s1,Haptic Timer,True,113.053,15,105.781.940;2.260;6.520;0.740;4.300;1.260;0.840;2.100;1.080;0.260;3.560;2.080;0.680;8.040;1.620,6.980;11.940;15.800;24.380;26.580;35.381;38.941;43.041;61.081;66.921;71.540;77.659;87.617;97.296;111.433,4.744;8.754;11.339;15.115;16.318;23.575;27.734;32.180;53.090;59.836;65.108;70.919;80.577;89.685;98.430
s2,No Haptic,True,92.417,16,104.271.460;1.660;1.360;1.960;0.100;3.500;1.920;6.420;2.420;0.840;1.860;3.160;1.340;2.380;2.640;3.120,0.700;5.940;15.680;17.880;22.280;23.480;31.341;41.941;50.121;53.301;60.481;65.501;73.880;76.479;79.659;84.438,0.734;4.746;14.691;17.182;21.961;23.356;32.461;46.004;54.404;58.259;66.703;72.945;81.239;83.738;87.037;91.206
s2,Haptic Timer,True,95.156,21,105.491.460;5.060;2.600;2.660;0.460;1.680;1.460;3.080;1.540;1.480;2.040;0.480;5.040;0.980;6.120;1.960;2.980;1.320;0.420;2.500;1.760,5.560;13.140;19.160;23.460;28.900;35.661;37.961;43.461;46.901;49.261;52.761;55.421;56.901;64.561;66.581;78.279;81.038;84.998;87.677;89.857;92.896,4.879;13.686;19.251;22.897;27.569;36.069;38.876;45.062;48.942;51.366;54.688;57.420;59.066;67.261;68.916;80.707;83.379;87.272;89.705;92.399;96.473
s2,Haptic Thermal,True,82.618,15,102.964.560;1.200;3.440;4.340;4.940;1.500;1.480;2.520;4.040;1.420;6.580;3.260;0.220;1.960;5.080,0.020;8.200;10.320;15.420;21.620;29.060;39.341;42.441;46.881;56.141;61.181;69.620;73.320;73.960;77.539,0.262;5.447;8.134;14.090;21.877;32.039;45.327;49.591;54.919;67.214;73.587;83.269;87.939;88.755;93.246
s3,Haptic Thermal,True,77.939,22,106.501.220;1.280;0.760;2.480;4.340;0.740;2.300;2.860;0.260;0.660;0.700;2.460;2.780;1.140;1.160;1.020;0.840;0.600;2.180;1.540;0.400;0.960,0.020;3.640;9.300;11.680;16.300;21.260;24.680;27.780;32.481;36.401;45.441;48.401;51.601;55.361;59.061;63.541;65.601;67.841;69.080;72.420;74.859;76.219,0.263;3.315;10.345;12.819;18.996;25.013;29.515;33.877;39.904;44.924;57.635;61.545;66.071;71.120;75.762;81.417;83.849;86.750;88.063;92.177;95.704;97.468
s3,Haptic Timer,False,88.617,24,106.661.320;2.380;2.100;14.040;1.600;1.540;1.640;1.380;0.920;0.480;0.480;2.060;1.300;0.060;1.280;0.920;0.580;0.680;1.220;2.660;1.640;1.160;0.980;0.120,0.460;6.560;9.400;12.700;27.880;29.700;33.121;36.181;40.861;42.561;46.381;47.841;50.481;53.061;55.281;59.301;60.941;65.501;66.821;70.540;76.339;82.478;86.697;88.497,0.727;7.870;11.145;14.125;19.720;22.010;26.502;30.965;36.414;38.921;43.635;45.169;49.121;52.053;54.769;60.683;63.163;69.157;71.258;76.000;83.386;90.746;96.712;99.567
s3,No Haptic,True,77.859,17,105.670.620;1.020;2.760;0.700;0.720;1.560;0.860;1.300;0.780;0.540;0.880;0.580;0.280;0.900;2.320;1.480;1.620,2.600;5.600;10.520;23.260;26.360;32.001;35.281;43.861;48.181;50.601;52.821;62.681;64.461;67.301;70.740;73.820;75.999,3.502;7.299;12.758;30.245;34.334;42.216;46.357;57.614;63.257;66.546;69.348;81.674;83.817;87.436;90.540;94.633;97.173
s4,Haptic Timer,True,102.635,18,105.064.220;0.920;1.500;0.940;3.820;2.140;0.740;1.420;2.120;0.960;0.300;0.480;2.720;1.160;0.480;2.000;1.800;0.200,0.040;7.000;21.720;29.180;36.941;42.041;47.481;49.421;54.121;64.101;65.501;66.461;67.521;70.900;72.600;87.677;95.476;102.435,0.261;3.655;12.862;19.269;29.629;35.514;41.284;43.848;49.550;60.328;61.936;62.941;64.028;66.568;67.781;82.462;90.767;99.472
