ID,ExpType,PatternDetected,TrialTime,CollisionCount,TotalPathLength,TimeIntervals_s,ErrorStart_Timeline_s,ErrorStart_Z_m
s6,Haptic Thermal,True,108.154,25,107.33,9.040;4.400;2.400;2.040;2.140;2.360;3.500;2.340;2.300;2.220;1.280;3.900;3.080;2.520;2.380;2.520;0.560;0.480;0.800;2.140;1.800;4.160;1.180;3.820;1.320,0.040;10.300;17.020;21.060;24.120;28.500;31.601;36.141;39.841;43.101;46.561;52.281;56.221;60.801;64.621;68.421;72.220;74.719;76.619;79.339;87.157;89.837;95.376;98.835;103.735,0.279;5.395;11.028;14.666;17.613;21.921;24.989;29.545;33.617;36.628;39.959;45.213;49.835;54.028;57.675;61.211;65.033;67.600;69.827;72.806;80.507;83.197;88.573;91.397;95.966
s6,Haptic No Thermal,True,120.572,24,109.36,6.360;0.560;1.980;5.140;3.320;1.320;1.540;2.460;1.040;5.900;1.140;4.500;1.280;3.040;1.720;1.040;2.160;2.780;1.400;0.860;3.520;1.380;1.500;1.300,0.040;9.440;12.200;22.340;28.320;39.781;43.701;46.961;52.521;66.261;73.060;75.699;81.338;83.358;87.517;93.636;97.216;101.255;104.475;107.014;108.974;113.553;116.672;119.272,0.288;3.879;5.493;12.302;16.895;25.619;29.083;32.153;37.782;52.828;59.714;62.080;67.032;68.600;72.315;77.494;80.412;83.909;86.624;88.713;90.428;94.167;96.712;98.809
s6,No Haptic,True,109.994,21,108.40,4.840;0.940;1.400;7.520;0.780;0.780;2.420;1.980;2.380;2.480;2.420;0.460;1.080;1.800;1.700;3.460;0.220;3.600;1.180;2.160;0.020,0.020;7.220;9.640;18.320;27.520;29.760;36.781;54.401;57.781;63.721;67.901;72.500;75.279;79.479;84.938;90.817;95.816;99.875;104.035;107.054;109.974,0.259;3.495;5.529;12.852;20.185;21.867;28.775;46.418;49.610;54.192;57.914;62.026;64.590;69.159;75.629;83.063;86.870;90.952;94.400;97.146;99.744
s7,No Haptic,True,134.172,29,104.46,2.460;0.960;0.580;0.100;2.800;0.280;2.920;0.960;1.440;0.860;2.380;0.800;0.040;0.820;1.660;5.920;1.540;1.400;0.780;1.740;5.020;0.040;1.780;3.660;1.580;0.580;0.160;13.620;3.380,3.620;7.920;9.400;15.040;16.200;23.880;24.580;29.440;37.301;39.501;43.041;46.441;47.821;50.141;60.321;67.181;76.479;82.978;85.158;89.477;92.057;98.555;101.275;103.415;107.914;111.013;113.093;114.913;130.791,1.796;4.714;5.651;10.021;10.872;16.028;16.574;19.957;25.819;27.443;30.467;33.217;33.992;35.730;43.414;49.320;55.336;61.401;63.602;67.238;68.737;74.030;76.336;78.122;80.938;83.877;85.899;87.709;98.453
s7,Haptic No Thermal,True,109.934,22,105.12,7.160;0.080;1.860;0.820;0.640;2.000;2.860;1.500;2.340;1.240;1.680;1.180;1.040;2.240;1.420;0.800;1.580;0.660;1.400;0.540;0.940;1.280,0.080;14.820;18.020;19.920;23.120;25.320;35.181;41.441;50.041;53.701;57.081;61.081;64.521;66.721;75.279;87.637;91.277;99.075;100.835;104.235;106.754;108.654,0.325;9.965;12.915;14.579;17.549;19.646;29.066;35.624;43.876;47.552;51.151;55.426;59.001;61.364;69.259;79.563;82.910;89.537;91.304;94.618;97.067;98.516
s7,Haptic Thermal,True,115.173,32,103.40,5.180;0.940;0.860;1.240;3.260;0.280;1.460;1.380;0.280;1.120;0.060;0.420;0.900;1.740;0.840;0.860;1.720;1.120;2.500;0.420;0.940;2.720;0.560;0.080;1.600;1.240;0.080;2.200;2.880;0.560;2.180;1.420,0.460;10.200;13.900;15.820;20.660;29.360;31.781;34.821;38.481;39.621;41.301;41.441;43.041;45.941;48.261;49.841;54.081;57.481;60.741;65.501;68.960;72.460;76.539;80.059;84.578;87.477;89.937;96.096;98.815;104.255;108.114;112.793,0.453;5.208;7.898;9.346;12.344;17.863;19.324;21.116;23.945;24.714;25.975;26.091;27.418;29.961;31.997;33.396;36.805;39.479;42.827;47.800;51.609;55.386;59.869;64.077;68.735;71.496;74.004;80.049;82.759;87.821;91.965;97.064
s9,Haptic No Thermal,True,90.297,17,104.42,5.240;0.060;2.100;1.260;2.820;1.060;2.320;1.760;0.740;1.700;1.280;0.100;1.400;0.560;3.280;2.200;0.020,0.020;13.500;15.180;18.520;23.380;27.460;30.141;34.541;39.941;46.561;57.261;62.021;63.281;73.900;75.259;82.718;90.277,0.255;12.070;13.943;17.677;22.806;26.010;29.125;34.853;41.237;49.959;62.694;67.982;69.390;81.519;83.238;90.849;99.731
s9,No Haptic,True,82.998,22,106.11,5.680;0.260;0.860;0.980;0.460;0.840;1.600;1.200;0.780;0.980;3.480;0.900;0.940;0.520;0.220;0.640;0.840;0.860;1.820;0.820;0.500;0.260,0.020;6.840;8.300;15.040;17.280;23.480;25.540;31.301;36.561;40.261;43.021;47.281;48.861;56.601;58.941;63.281;68.261;70.120;77.079;79.699;81.518;82.738,0.267;7.896;9.783;17.284;20.083;29.428;32.568;39.092;45.584;49.961;52.813;56.420;57.954;67.619;69.933;75.391;81.282;83.789;92.536;95.485;97.827;99.414
s9,Haptic Thermal,True,82.318,20,107.30,7.740;0.160;2.100;1.500;1.920;0.920;2.680;0.620;0.260;0.060;0.100;2.220;0.220;1.440;1.140;1.320;1.780;0.840;0.960;0.640,0.020;16.160;17.880;20.840;25.460;28.840;30.981;35.021;43.301;44.601;52.501;53.261;56.641;57.921;60.321;68.161;70.960;74.959;78.319;81.018,0.256;11.893;14.032;17.451;22.555;26.931;29.775;35.520;47.930;49.956;62.048;63.236;67.883;68.855;71.707;81.001;84.428;89.445;93.366;97.580
s10,No Haptic,True,80.758,15,103.70,1.520;1.280;0.440;4.340;1.280;0.600;1.460;1.760;2.520;2.360;3.780;1.300;2.900;0.120;3.680,0.020;4.020;9.560;11.980;16.540;19.420;21.800;32.761;46.101;51.461;55.421;61.741;68.021;71.900;73.260,0.263;2.926;9.653;13.019;17.424;20.482;23.141;35.714;53.886;61.610;67.237;75.345;82.763;87.902;89.760
s10,Haptic Thermal,True,81.118,16,104.27,4.500;0.700;4.720;6.720;3.540;1.760;1.100;0.760;3.460;0.360;0.820;0.680;2.640;1.720;2.440;2.800,0.020;8.080;10.980;16.780;30.821;37.901;40.561;42.361;45.901;52.101;56.721;66.041;67.501;71.140;74.719;78.199,0.272;7.735;11.436;17.543;34.688;43.382;46.901;49.217;53.780;61.817;67.679;81.208;83.123;87.472;91.646;96.214
s10,Haptic No Thermal,True,78.219,18,103.94,2.060;1.520;2.460;4.340;1.160;2.640;0.740;0.160;1.700;0.260;2.320;0.040;1.100;1.100;3.180;0.260;2.780;1.780,0.020;3.640;6.520;9.860;15.780;20.180;25.920;31.961;37.441;41.681;43.581;47.541;52.041;54.101;64.101;68.341;71.240;75.599,0.267;3.674;7.239;11.139;17.207;22.201;29.520;37.856;45.966;51.912;54.323;60.017;66.859;69.262;82.741;87.844;90.999;96.498
s12,Haptic Thermal,True,85.578,20,104.16,4.020;1.900;2.100;0.820;1.180;0.940;2.720;0.800;1.140;1.020;0.480;1.060;0.200;0.140;1.180;2.640;1.840;1.580;0.140;0.100,0.020;5.560;17.060;21.620;23.640;26.060;28.020;32.581;41.581;49.141;51.361;55.441;58.441;65.901;71.520;73.200;76.519;78.979;81.398;85.478,0.263;3.050;13.163;17.393;19.483;21.174;23.068;27.107;37.426;46.958;49.930;55.388;59.886;71.958;80.700;82.852;87.770;90.908;93.990;99.627
s12,No Haptic,True,82.358,26,104.77,3.720;0.620;0.760;0.620;0.480;2.080;0.820;1.000;0.060;0.880;0.560;1.420;1.740;0.280;1.520;0.180;0.200;0.940;0.480;0.180;0.280;1.120;0.800;2.400;0.680;1.020,0.020;4.920;6.900;9.660;15.920;16.960;20.180;21.760;23.920;35.281;38.621;40.541;42.741;45.361;51.561;54.581;57.861;60.521;62.681;68.840;71.360;72.560;74.120;75.639;79.139;80.638,0.276;3.431;5.179;7.837;15.682;16.855;19.646;21.289;24.070;39.547;43.879;46.278;49.037;51.953;59.973;63.889;67.920;71.253;73.811;81.920;85.697;87.308;89.266;91.130;95.582;97.563
s12,Haptic No Thermal,True,92.796,21,105.02,3.180;1.900;0.560;5.520;2.260;1.640;7.840;1.360;0.780;1.360;0.340;0.960;2.020;0.900;0.200;0.840;0.680;0.480;1.920;0.600;2.240,0.020;3.900;6.980;8.780;15.580;18.580;24.240;32.941;35.881;41.061;47.141;49.041;53.561;61.001;64.641;69.760;73.540;77.159;79.119;82.398;86.118,0.261;2.275;5.398;7.136;13.715;16.800;23.130;32.819;35.563;40.960;47.708;49.769;54.715;63.400;67.501;73.345;77.791;81.737;84.040;87.734;91.680
